,"Wdbc",,,,"Movement_Libras",,,,"Arrhythmia",,,
,"%_clas train","%_clas test","%_red","T","%_clas train","%_clas test","%_red","T","%_clas train","%_clas test","%_red","T"
"3-NN","96,0563","96,7308","0,0000","0,0131","67,7778","74,1111","0,0000","0,0336","63,2292","63,0101","0,0000","0,1000"
"SFS","97,1531","94,4806","85,4000","0,4401","75,8889","69,8333","89,7778","2,0557","78,1368","69,2762","97,9856","3,8331"
"AGG","98,2427","95,9931","49,0000","94,3327","79,6111","73,6111","53,2222","154,6825","76,5314","65,3404","51,6906","758,3582"
"AM1","98,0319","95,7828","48,3333","97,6716","78,3889","73,7778","51,2222","163,9044","74,5613","64,6113","50,1079","788,9946"
"AM2","98,2074","95,8878","50,3333","96,3421","77,8889","73,7778","54,0000","152,4923","75,1820","65,7566","52,2662","856,4522"
"AM3","98,0318","96,7319","48,3333","95,8629","78,2778","74,1111","52,7778","155,9124","75,0247","65,5520","51,5108","806,5681"
