,"Wdbc",,,,"Movement_Libras",,,,"Arrhythmia",,,
,"%_clas train","%_clas test","%_red","T","%_clas train","%_clas test","%_red","T","%_clas train","%_clas test","%_red","T"
"Partición 1-1","99,6479","95,4386","56,6667","90,9768","73,8889","73,8889","54,4444","154,1980","76,5625","62,3711","56,1151","909,3304"
"Partición 1-2","97,5439","97,8873","33,3333","108,3798","81,1111","76,6667","52,2222","160,4309","77,3196","66,6667","56,4748","717,0098"
"Partición 2-1","97,8873","97,8947","50,0000","100,8420","76,1111","81,1111","48,8889","169,3890","70,8333","64,4330","50,0000","943,7376"
"Partición 2-2","98,9474","94,3662","53,3333","97,9554","76,6667","70,0000","55,5556","139,9832","77,3196","66,1458","48,9209","816,7281"
"Partición 3-1","98,2394","96,1404","46,6667","78,3801","77,2222","77,7778","50,0000","163,8985","77,6042","63,4021","53,9568","803,1048"
"Partición 3-2","97,5439","97,8873","46,6667","96,4457","80,5556","73,3333","50,0000","163,9792","73,1959","66,6667","45,3237","783,8307"
"Partición 4-1","97,1831","96,4912","56,6667","92,3085","76,6667","77,7778","55,5556","141,6862","73,9583","62,8866","52,1583","844,8152"
"Partición 4-2","97,8947","97,8873","50,0000","91,2669","81,6667","69,4444","58,8889","143,1559","77,3196","71,3542","55,7554","633,3774"
"Partición 5-1","97,5352","95,4386","60,0000","75,9596","77,7778","71,1111","50,0000","163,0565","75,0000","67,0103","50,0000","875,8141"
"Partición 5-2","97,8947","97,8873","30,0000","126,1140","81,1111","70,0000","52,2222","159,3467","71,1340","64,5833","46,4029","737,9328"
"Media","98,0318","96,7319","48,3333","95,8629","78,2778","74,1111","52,7778","155,9124","75,0247","65,5520","51,5108","806,5681"
