,"Wdbc",,,,"Movement_Libras",,,,"Arrhythmia",,,
,"%_clas train","%_clas test","%_red","T","%_clas train","%_clas test","%_red","T","%_clas train","%_clas test","%_red","T"
"3-NN","96,0563","96,7308","0,0000","0,0131","67,7778","74,1111","0,0000","0,0336","63,2292","63,0101","0,0000","0,1000"
"SFS","97,1531","94,4806","85,4000","0,4401","75,8889","69,8333","89,7778","2,0557","78,1368","69,2762","97,9856","3,8331"
"BMB","98,0668","96,1331","47,3333","4,2245","76,2222","74,3889","48,4444","20,2252","70,5697","64,2510","50,2518","251,1131"
"GRASP","98,0672","95,4648","63,7657","11,1846","78,8333","73,1111","84,2222","50,5280","80,3120","68,4998","94,8921","49,9187"
"ILS","98,0319","95,9937","50,3333","5,5818","77,5556","73,7222","52,5556","23,9602","72,2353","64,3030","45,2986","376,2882"
